001  22593 |Loss: 0.000 | Acc: 29.000% 
001  22657 |Loss: 0.000 | Acc: 29.000% 
001  22721 |Loss: 0.000 | Acc: 29.000% 
001  22785 |Loss: 0.000 | Acc: 29.000% 
001  22849 |Loss: 0.000 | Acc: 29.000% 
001  22913 |Loss: 0.000 | Acc: 29.000% 
001  22977 |Loss: 0.000 | Acc: 29.000% 
001  23041 |Loss: 0.000 | Acc: 30.000% 
001  23105 |Loss: 0.000 | Acc: 30.000% 
001  23169 |Loss: 0.000 | Acc: 30.000% 
001  23233 |Loss: 0.000 | Acc: 30.000% 
001  23297 |Loss: 0.000 | Acc: 30.000% 
001  23361 |Loss: 0.000 | Acc: 30.000% 
001  23425 |Loss: 0.000 | Acc: 30.000% 
001  23489 |Loss: 0.000 | Acc: 30.000% 
001  23553 |Loss: 0.000 | Acc: 30.000% 
001  23617 |Loss: 0.000 | Acc: 30.000% 
001  23681 |Loss: 0.000 | Acc: 30.000% 
001  23745 |Loss: 0.000 | Acc: 30.000% 
001  23809 |Loss: 0.000 | Acc: 30.000% 
001  23873 |Loss: 0.000 | Acc: 30.000% 
001  23937 |Loss: 0.000 | Acc: 30.000% 
001  24001 |Loss: 0.000 | Acc: 30.000% 
001  24065 |Loss: 0.000 | Acc: 30.000% 
001  24129 |Loss: 0.000 | Acc: 30.000% 
001  24193 |Loss: 0.000 | Acc: 30.000% 
001  24257 |Loss: 0.000 | Acc: 30.000% 
001  24321 |Loss: 0.000 | Acc: 30.000% 
001  24385 |Loss: 0.000 | Acc: 30.000% 
001  24449 |Loss: 0.000 | Acc: 30.000% 
001  24513 |Loss: 0.000 | Acc: 30.000% 
001  24577 |Loss: 0.000 | Acc: 30.000% 
001  24641 |Loss: 0.000 | Acc: 30.000% 
001  24705 |Loss: 0.000 | Acc: 30.000% 
001  24769 |Loss: 0.000 | Acc: 30.000% 
001  24833 |Loss: 0.000 | Acc: 30.000% 
001  24897 |Loss: 0.000 | Acc: 30.000% 
001  24961 |Loss: 0.000 | Acc: 30.000% 
001  25025 |Loss: 0.000 | Acc: 30.000% 
001  25089 |Loss: 0.000 | Acc: 30.000% 
001  25153 |Loss: 0.000 | Acc: 30.000% 
001  25217 |Loss: 0.000 | Acc: 30.000% 
001  25281 |Loss: 0.000 | Acc: 30.000% 
001  25345 |Loss: 0.000 | Acc: 30.000% 
001  25409 |Loss: 0.000 | Acc: 30.000% 
001  25473 |Loss: 0.000 | Acc: 30.000% 
001  25537 |Loss: 0.000 | Acc: 30.000% 
001  25601 |Loss: 0.000 | Acc: 30.000% 
001  25665 |Loss: 0.000 | Acc: 30.000% 
001  25729 |Loss: 0.000 | Acc: 30.000% 
001  25793 |Loss: 0.000 | Acc: 31.000% 
001  25857 |Loss: 0.000 | Acc: 31.000% 
001  25921 |Loss: 0.000 | Acc: 31.000% 
001  25985 |Loss: 0.000 | Acc: 31.000% 
001  26049 |Loss: 0.000 | Acc: 31.000% 
001  26113 |Loss: 0.000 | Acc: 31.000% 
001  26177 |Loss: 0.000 | Acc: 31.000% 
001  26241 |Loss: 0.000 | Acc: 31.000% 
001  26305 |Loss: 0.000 | Acc: 31.000% 
001  26369 |Loss: 0.000 | Acc: 31.000% 
001  26433 |Loss: 0.000 | Acc: 31.000% 
001  26497 |Loss: 0.000 | Acc: 31.000% 
