002  02433 |Loss: 0.000 | Acc: 31.000% 
002  02561 |Loss: 0.000 | Acc: 32.000% 
002  02689 |Loss: 0.000 | Acc: 32.000% 
002  02817 |Loss: 0.000 | Acc: 32.000% 
002  02945 |Loss: 0.000 | Acc: 32.000% 
002  03073 |Loss: 0.000 | Acc: 32.000% 
002  03201 |Loss: 0.000 | Acc: 32.000% 
002  03329 |Loss: 0.000 | Acc: 32.000% 
002  03457 |Loss: 0.000 | Acc: 33.000% 
002  03585 |Loss: 0.000 | Acc: 33.000% 
002  03713 |Loss: 0.000 | Acc: 33.000% 
002  03841 |Loss: 0.000 | Acc: 33.000% 
002  03969 |Loss: 0.000 | Acc: 33.000% 
002  04097 |Loss: 0.000 | Acc: 33.000% 
002  04225 |Loss: 0.000 | Acc: 33.000% 
002  04353 |Loss: 0.000 | Acc: 33.000% 
002  04481 |Loss: 0.000 | Acc: 33.000% 
002  04609 |Loss: 0.000 | Acc: 33.000% 
002  04737 |Loss: 0.000 | Acc: 33.000% 
002  04865 |Loss: 0.000 | Acc: 33.000% 
002  04993 |Loss: 0.000 | Acc: 33.000% 
002  05121 |Loss: 0.000 | Acc: 33.000% 
002  05249 |Loss: 0.000 | Acc: 33.000% 
002  05377 |Loss: 0.000 | Acc: 33.000% 
002  05505 |Loss: 0.000 | Acc: 33.000% 
002  05633 |Loss: 0.000 | Acc: 33.000% 
002  05761 |Loss: 0.000 | Acc: 33.000% 
002  05889 |Loss: 0.000 | Acc: 33.000% 
002  06017 |Loss: 0.000 | Acc: 33.000% 
002  06145 |Loss: 0.000 | Acc: 33.000% 
002  06273 |Loss: 0.000 | Acc: 33.000% 
002  06401 |Loss: 0.000 | Acc: 33.000% 
002  06529 |Loss: 0.000 | Acc: 33.000% 
002  06657 |Loss: 0.000 | Acc: 33.000% 
002  06785 |Loss: 0.000 | Acc: 33.000% 
002  06913 |Loss: 0.000 | Acc: 33.000% 
002  07041 |Loss: 0.000 | Acc: 34.000% 
002  07169 |Loss: 0.000 | Acc: 33.000% 
002  07297 |Loss: 0.000 | Acc: 34.000% 
002  07425 |Loss: 0.000 | Acc: 34.000% 
002  07553 |Loss: 0.000 | Acc: 33.000% 
002  07681 |Loss: 0.000 | Acc: 33.000% 
